latitude,longitude,depth,u_velocity,v_velocity,w_velocity,temperature,salinity,pressure
-42.139,147.250,100,0.113,-0.079,0.003,14.1,35.2,1100.1
-42.141,147.252,100,0.071,-0.043,-0.011,12.0,34.3,1101.6
-42.143,147.254,100,0.121,-0.085,0.005,14.4,35.4,1099.9
-42.145,147.256,100,0.067,-0.040,-0.013,11.8,34.2,1101.8
-42.147,147.258,100,0.128,-0.091,0.007,14.6,35.5,1099.7
-42.149,147.260,100,0.064,-0.036,-0.015,11.5,34.0,1102.0
-42.151,147.262,100,0.136,-0.097,0.009,14.9,35.7,1099.5
-42.123,147.234,200,0.043,-0.031,-0.018,9.8,34.9,1201.5
-42.125,147.236,200,0.041,-0.029,-0.019,9.6,34.8,1201.6
-42.127,147.238,200,0.045,-0.033,-0.017,10.0,35.0,1201.4
-42.129,147.240,200,0.039,-0.027,-0.020,9.4,34.7,1201.7
-42.131,147.242,200,0.049,-0.036,-0.015,10.2,35.1,1201.2
-42.133,147.244,200,0.037,-0.025,-0.021,9.1,34.6,1201.9
-42.135,147.246,200,0.052,-0.039,-0.013,10.5,35.2,1201.0
-42.137,147.248,200,0.034,-0.022,-0.023,8.9,34.5,1202.1
-42.139,147.250,200,0.056,-0.042,-0.011,10.7,35.3,1200.8
-42.141,147.252,200,0.032,-0.020,-0.024,8.6,34.4,1202.3
-42.143,147.254,200,0.059,-0.045,-0.009,11.0,35.5,1200.6
-42.145,147.256,200,0.029,-0.017,-0.026,8.4,34.3,1202.5
-42.147,147.258,200,0.063,-0.048,-0.007,11.2,35.6,1200.4
-42.149,147.260,200,0.027,-0.015,-0.027,8.1,34.1,1202.7
-42.151,147.262,200,0.066,-0.051,-0.005,11.5,35.8,1200.2
-42.163,147.264,5,0.178,-0.134,0.002,17.0,33.5,1006.6
-42.165,147.266,5,0.201,-0.145,0.005,17.5,33.9,1006.1
-42.167,147.268,5,0.156,-0.119,-0.001,16.6,33.2,1006.8
-42.169,147.270,5,0.223,-0.167,0.008,18.1,34.2,1005.7
-42.171,147.272,5,0.134,-0.098,-0.004,16.2,32.9,1007.1
-42.173,147.274,5,0.245,-0.189,0.011,18.6,34.5,1005.4
-42.175,147.276,5,0.112,-0.081,-0.006,15.7,32.6,1007.4
-42.177,147.278,5,0.267,-0.211,0.014,19.2,34.8,1005.0
-42.179,147.280,5,0.089,-0.067,-0.009,15.3,32.3,1007.7
-42.181,147.282,5,0.289,-0.233,0.017,19.7,35.1,1004.7
-42.183,147.284,5,0.067,-0.052,-0.012,14.8,31.9,1008.1
-42.185,147.286,5,0.312,-0.256,0.020,20.3,35.4,1004.3
-42.187,147.288,5,0.045,-0.037,-0.015,14.4,31.6,1008.4
-42.189,147.290,5,0.334,-0.278,0.023,20.8,35.7,1003.9
-42.191,147.292,5,0.023,-0.021,-0.018,13.9,31.2,1008.8
